[2025-04-28 09:11:10] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 09:11:10] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 09:11:10] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-28 09:11:10] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404

[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-28 09:11:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-28 09:32:19] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-28 09:32:19] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 09:32:19] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 09:32:19] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-28 09:32:19] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404

[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-28 09:32:47] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-28 09:35:52] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways | Status: 200

[2025-04-28 09:36:01] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-28 09:36:01] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 09:36:01] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 09:36:01] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200

[2025-04-28 09:36:08] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways | Status: 200

[2025-04-28 09:36:23] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/index.htm | Status: 404

[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/index.html | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/styles.css | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/destination-1.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/destination-3.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/destination-2.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/showcase.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/main.js | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/header.png | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/client-1.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/client-2.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/client-3.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/client-4.jpg | Status: 200
[2025-04-28 09:36:26] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/airways/assets/header-bg.jpg | Status: 200
[2025-04-29 13:53:12] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-29 13:53:12] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-29 13:53:12] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-29 13:53:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-29 13:53:13] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-29 13:53:15] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-29 13:53:16] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-29 13:53:17] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200
[2025-04-29 13:53:18] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-29 13:53:18] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-29 13:53:18] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-29 13:53:18] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
